
 Lista de Imóveis da Caixa;;Data de geração:;03/06/2026;;;;;;;
 N° do imóvel;UF;Cidade;Bairro;Endereço;Preço;Valor de avaliação;Desconto;Financiamento;Descrição;Modalidade de venda;Link de acesso

 8787709586012 ;AL ;MACEIO ;CIDADE UNIVERSITARIA ;AVENIDA MENINO MARCELO, N. 2091, Apto 204, 204, D ;155.884,95;267.986,64;41.84;Sim;Apartamento, 88.60 de área total, 44.88 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787709586012
 8555532261944 ;AL ;MACEIO ;BENEDITO BENTES ;RUA JOÃO PAULO, N. 451, Apto 203, BL 09 ;97.778,11;165.000,00;40.75;Sim;Apartamento, 125.35 de área total, 42.42 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8555532261944
 8555519537290 ;AL ;MACEIO ;SANTA AMELIA ; RUA A, N. 160-A, Apto 202, BL 10 ;70.293,54;117.500,00;40.18;Não;Apartamento, 49.28 de área total, 46.25 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8555519537290
 8555512292313 ;AL ;MACEIO ;SANTA AMELIA ;AVENIDA JORGE MONTENEGRO BARROS, N. 3200, Apto 404, BL B ;122.400,00;204.000,00;40.00;Não;Apartamento, 93.04 de área total, 50.49 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8555512292313
 8787703813777 ;AL ;MACEIO ;BENEDITO BENTES ;RUA PROJETADA O, N. 86, Apto 303, BL 09 ;114.838,57;190.000,00;39.56;Sim;Apartamento, 42.42 de área total, 42.42 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787703813777
 8787702752316 ;AL ;MACEIO ;TABULEIRO DO MARTINS ;AVENIDA CARLOS GOMES DE BARROS, N. 278, Apto 302, BL 04 ;113.112,95;187.144,97;39.56;Não;Apartamento, 50.45 de área total, 40.28 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787702752316
 8444418760773 ;AL ;MACEIO ;SERRARIA ;RUA LUIZ VIEIRA DOS ANJOS ANTIGA RUA GERSON LOPES, N. 208, Apto 1505, BL B ILHA SUL VG 155 ;206.888,56;324.625,63;36.27;Não;Apartamento, 68.43 de área total, 51.68 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444418760773
 1444406448356 ;AL ;MACEIO ;PRADO ;RUA AGNELO BARBOSA, N. 76, ;280.418,29;440.000,00;36.27;Não;Comercial, 154.52 de área total, 154.52 de área privativa, 151.80 de área do terreno,  3 qto(s), a.serv, WC, 1 sala(s), cozinha, Terraco.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444406448356
 1444411531045 ;AL ;MACEIO ;TABULEIRO DO MARTINS ;AVENIDA D, N. 518, LT 01 QD C-02 LOT RES ACAUÃ ;272.133,21;427.000,00;36.27;Sim;Casa, 148.12 de área total, 148.12 de área privativa, 220.00 de área do terreno,  2 qto(s), varanda, a.serv, WC, 1 sala(s), cozinha.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444411531045
 8204799000638 ;AL ;MACEIO ;SERRARIA ; RUA PROJETO, N. 75, Apto 104, PAV 01 ;265.000,00;265.000,00;0.00;Não;Apartamento, 82.42 de área total, 65.98 de área privativa, 0.00 de área do terreno,  3 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8204799000638
